ID,First ,Last,Amount,MinUsualAmount,MaxUsualAmount,OutsideMinMax,CC Number,Credit Limit,Credit Used,OnlinePurchase,Vendor,CustomerHomeCity,CustomerAge,AgeLevel,CustomerGender,CustomerMaritalStatus,CustomerHasChildren,IsFraud,TransactionNumber,Transaction Date,Transaction Time,SourceOutsideUsual
1061,Charlotte,Martinez,$331.90 ,3,273,Outside,4829010000000000,5000,0.057345979,Yes,McDonald's,Rockwall,77,High,Female,Divorced,Yes,0,78747953,12/18/23,5:50:50,YES
279,Alexander,White,$565.82 ,7,546,Outside,4050490000000000,10000,0.695784368,Yes,Walmart,Frisco,74,High,Male,Married,Yes,0,80932519,11/23/23,10:38:42,Yes
512,Charlotte,Garcia,$5.77 ,6,519,Outside,4340520000000000,10000,0.451981387,Yes,InternationalHolding,Plano,72,High,Male,Married,Yes,0,35940419,4/9/23,4:57:36,Yes
1116,Aiden,Williams,$661.07 ,4,349,Outside,4589620000000000,5000,0.054614062,Yes,Amazon,Plano,76,High,Male,Married,Yes,1,69805746,10/3/23,20:19:22,YES
1128,Charlotte,Anderson,$670.59 ,2,233,Outside,4185340000000000,1000,0.425051424,Yes,Walmart,Arlington,62,High,Male,Married,No,0,28588182,5/26/23,14:59:14,YES
2113,Aiden,Clark,$646.88 ,6,499,Outside,4392040000000000,15000,0.027323968,Yes,Subaru,Irving,76,High,Male,Married,Yes,0,42337344,5/28/23,18:20:38,Yes
1058,Alexander,Lewis,$511.25 ,3,271,Outside,4946090000000000,5000,0.272490867,Yes,Home Depot,Farmers Branch,67,High,Female,Single,No,1,9455132,6/15/23,18:59:43,YES
1112,Charlotte,Anderson,$510.70 ,5,431,Outside,4604240000000000,20000,0.285077999,Yes,Amazon,Arlington,79,High,Female,Single,No,1,5039210,7/5/23,14:39:19,YES
210,Ethan,Garcia,$618.80 ,2,226,Outside,4748740000000000,40000,0.187387188,Yes,IBM,Frisco,61,High,Male,Widowed,Yes,1,5790938,1/10/23,6:21:59,Yes
1938,Isabella,Gonzalez,$600.26 ,6,457,Outside,4163230000000000,5000,0.178967392,Yes,Apple,Dallas,63,High,Female,Widowed,No,0,10245508,7/25/23,0:04:32,Yes
592,Isabella,Wilson,$586.76 ,6,502,Outside,4139860000000000,40000,0.100004022,Yes,Starbucks,Frisco,91,Highest,Female,Divorced,No,0,75771678,7/2/23,14:43:44,Yes
1064,Elijah,Wilson,$497.64 ,5,399,Outside,4961900000000000,40000,0.327184219,Yes,Lift,Dallas,81,Highest,Female,Divorced,Yes,0,6955743,8/10/23,15:26:02,YES
1093,Isabella,Williams,$420.14 ,4,316,Outside,4768640000000000,10000,0.54752508,Yes,InternationalHolding,Farmers Branch,95,Highest,Male,Divorced,No,0,88833491,1/2/23,22:35:41,YES
1147,Amelia,Harris,$548.48 ,6,515,Outside,4998930000000000,5000,0.088676119,Yes,Lift,Addison,81,Highest,Male,Divorced,Yes,0,48289090,9/18/23,9:59:47,YES
1219,Jackson,Davis,$344.45 ,1,133,Outside,4195410000000000,10000,0.108692782,Yes,Starbucks,Dallas,94,Highest,Female,Divorced,Yes,0,80416347,4/18/23,14:54:29,Yes
1232,Amelia,Thomas,$643.98 ,5,417,Outside,4345240000000000,40000,0.853273022,Yes,IBM,Rockwall,84,Highest,Male,Divorced,Yes,0,37550427,8/11/23,13:47:38,Yes
1259,Alexander,Williams,$672.77 ,3,261,Outside,4040730000000000,20000,0.484344212,Yes,IBM,Irving,92,Highest,Female,Divorced,No,0,47693686,9/23/23,1:29:49,Yes
726,Ava,Clark,$434.65 ,4,370,Outside,4028800000000000,20000,0.010211479,Yes,Apple,Arlington,81,Highest,Male,Married,Yes,0,38556512,12/6/23,11:16:19,Yes
1028,Amelia,Hernandez,$604.72 ,4,337,Outside,4780150000000000,20000,0.544068866,Yes,Smoothy King,Plano,94,Highest,Female,Married,Yes,1,54754226,9/5/23,3:47:56,Yes
1620,Ava,Wilson,$479.81 ,6,424,Outside,4066940000000000,40000,0.817937366,Yes,Lift,McKinney,86,Highest,Male,Married,No,1,21869370,10/8/23,9:53:03,Yes
1987,Lucas,Smith,$507.42 ,5,364,Outside,4122770000000000,1000,0.591551967,Yes,Walmart,Arlington,91,Highest,Male,Married,Yes,0,78960354,7/13/23,4:18:05,Yes
1134,Charlotte,Perez,$687.20 ,4,302,Outside,4899980000000000,40000,0.784189481,Yes,Home Depot,Frisco,86,Highest,Male,Single,Yes,1,62579061,9/7/23,6:07:03,YES
1865,Mia,Jones,$499.12 ,5,398,Outside,4030070000000000,15000,0.847717876,Yes,Apple,Rockwall,82,Highest,Male,Single,No,1,3098671,2/7/23,20:46:50,Yes
1108,Alexander,Taylor,$533.77 ,4,328,Outside,4613950000000000,40000,0.461545208,Yes,Starbucks,Irving,84,Highest,Female,Widowed,Yes,0,89373223,2/26/23,4:08:42,YES
1140,John,Harris,$547.99 ,5,441,Outside,4905440000000000,5000,0.933427051,Yes,Lift,Frisco,91,Highest,Male,Widowed,No,0,42437816,10/4/23,12:18:58,YES
1995,Logan,Smith,$371.88 ,2,167,Outside,4263380000000000,5000,0.000673354,Yes,Lift,Arlington,82,Highest,Female,Widowed,No,0,46491774,5/16/23,19:01:23,Yes
1411,Amelia,Anderson,$620.43 ,5,406,Outside,4530680000000000,1000,0.990756206,Yes,Smoothy King,Farmers Branch,22,Low,Male,Divorced,No,1,52098770,11/5/23,4:22:54,Yes
941,John,Taylor,$575.63 ,7,575,Outside,4004700000000000,1000,0.961200548,Yes,Walmart,Frisco,19,Low,Male,Married,Yes,0,14624099,3/26/23,11:55:51,Yes
1100,Harper,Gonzalez,$659.52 ,4,306,Outside,4603050000000000,5000,0.493918835,Yes,Subaru,Plano,24,Low,Male,Widowed,No,0,10483013,1/19/23,12:38:00,YES
1146,John,Hernandez,$545.59 ,4,283,Outside,4323470000000000,20000,0.638564624,Yes,SMU,Plano,26,Low,Female,Widowed,Yes,0,32440542,12/15/23,11:17:47,YES
310,Charlotte,Smith,$626.78 ,1,105,Outside,4265100000000000,5000,0.814026921,Yes,InternationalHolding,Arlington,58,Middle,Male,Divorced,No,0,84334089,6/8/23,0:19:48,Yes
