CC Number,Credit Limit,Credit Used
3148076015251580,10000,56%
9307848631060570,5000,84%
8977381988304550,20000,91%
3910045845506040,1000,13%
3938144676803900,5000,69%
4631442902570560,40000,27%
1443272878604220,20000,63%
1254632134749800,15000,21%
5091727155696400,10000,95%
2812185186767610,5000,13%
6330625619080340,20000,21%
3559206118915870,1000,49%
5304328221590160,5000,64%
2326986769992740,40000,97%
8321691178398960,20000,82%
4781239570646980,15000,2%
7812847399670870,10000,64%
1689866215713940,5000,63%
1911936128411620,20000,64%
8554970014513660,1000,65%
4083643240510140,5000,76%
3577149224560310,40000,46%
3299725506167710,20000,30%
3762351867839760,15000,32%
3508390529135770,10000,27%
4421269669087110,5000,77%
1906393852924360,20000,89%
2433025659393520,1000,47%
8004653279001040,5000,90%
2735022977509480,40000,10%
7441569201429400,20000,94%
2636136140302230,15000,98%
9140367401157990,10000,9%
2122381559382820,5000,5%
8458891261575520,20000,60%
6990563669978040,1000,28%
1865468904525340,5000,17%
8908021388568550,40000,29%
1141800505032280,20000,65%
5161917738661670,15000,66%
7936534027043940,10000,37%
2334941235851140,5000,87%
9378978783829640,20000,32%
9523652937945380,1000,63%
2346759365646140,5000,34%
3023962232583980,40000,67%
8076272023139110,20000,23%
2078334902691350,15000,14%
8380080477567790,10000,33%
6398683952154170,5000,36%
6736817670313890,20000,80%
7494900728116660,1000,93%
5896060859368360,5000,85%
7057776270928520,40000,50%
6907169768855070,20000,23%
4037898823510350,15000,62%
6872342968457370,10000,54%
7771528138035520,5000,64%
5296880553210040,20000,27%
3130653700233090,1000,49%
8607909338005290,5000,43%
7381945794613490,40000,94%
9724331489080390,20000,48%
9885588697266260,15000,21%
2130397037960640,10000,46%
9228882902722630,5000,30%
5455252069479350,20000,55%
6659971035131970,1000,79%
2777990833717320,5000,82%
3188529321505920,40000,92%
1539459439903740,20000,53%
7072898807159240,15000,37%
9262644553364390,10000,68%
6276385867444840,5000,85%
1727929374275230,20000,42%
7590762914612100,1000,5%
8058973453802390,5000,16%
8309520177215040,40000,1%
8741892703725720,20000,21%
2053125429818320,15000,66%
6397519858206790,10000,35%
4275111652019450,5000,42%
5436358634203340,20000,83%
6384607615321050,1000,16%
4465032505845190,5000,92%
6039166745502050,40000,95%
4525014214023670,20000,0%
6468432407462280,15000,24%
6801569891254180,10000,77%
7115049984054710,5000,30%
9112901841991230,20000,17%
1652337017799630,1000,53%
1824583634060200,5000,80%
3701223542780890,40000,68%
6426030467734080,20000,27%
1575905611288570,15000,9%
4477365635246600,10000,52%
3246864931813820,5000,97%
3713549561085810,20000,49%
6904999018765460,1000,12%
4720370117371250,5000,85%
5284508607680850,40000,45%
4487570260816360,20000,13%
8328806897117380,15000,98%
4710269049859610,10000,2%
6628803477953730,5000,81%
9460801443562110,20000,56%
4103187166834920,1000,91%
2187501320161920,5000,38%
5157050482685170,40000,64%
9005092258509000,20000,82%
3235623222786350,15000,59%
2499647584145670,10000,26%
5620802332770060,5000,59%
6132300001171510,20000,72%
2303568008721010,1000,46%
3767398092704430,5000,88%
1661539484455560,40000,95%
6582571645391560,20000,57%
2029114104772880,15000,20%
1170017114785980,10000,53%
9520575779729560,5000,87%
4493815132257700,20000,7%
6568399315190660,1000,17%
4699624727254900,5000,20%
4241022032649590,40000,66%
6130862419343670,20000,29%
5940885419104680,15000,49%
9444713047982920,10000,30%
3769618727929810,5000,93%
4266666613264540,20000,24%
2408510697034060,1000,19%
6061774269340880,5000,56%
8748991411864620,40000,66%
9873077710023480,20000,12%
8376158020915400,15000,75%
8432643073944200,10000,69%
3720744163886110,5000,79%
4111871730349610,20000,33%
3673572634813950,1000,67%
1123996128539250,5000,55%
8057231576374820,40000,88%
6789798825424850,20000,21%
5679105989012590,15000,38%
4863742859428420,10000,17%
4269732442529400,5000,38%
9344185949447380,20000,64%
4176166152874530,1000,50%
9899249285274810,5000,63%
2714467854872220,40000,61%
2938587419171450,20000,42%
9346612021051470,15000,93%
1751275969097130,10000,22%
2742065850877730,5000,34%
6587484355577300,20000,76%
4255247124434460,1000,100%
1905496774285620,5000,45%
5856466166259230,40000,89%
2943854780979750,20000,35%
4211429185402150,15000,41%
6687816474850540,10000,12%
6570864588309270,5000,25%
4214882257247870,20000,52%
6188983555626420,1000,2%
8297642704834260,5000,77%
2905851392930260,40000,33%
7809095911208530,20000,3%
6509428062118370,15000,47%
6688792526745350,10000,63%
4167490161594950,5000,76%
1226942444671420,20000,65%
4280733725716780,1000,97%
4792532977180050,5000,65%
1550965879802100,40000,87%
7149256511378400,20000,60%
1843212733883350,15000,36%
5090267746155760,10000,46%
2498873414518240,5000,63%
9668370464380890,20000,99%
4389378431743140,1000,95%
1075088462257710,5000,30%
9663378784101520,40000,5%
2095629500512470,20000,26%
8538464822858040,15000,29%
6816773098197550,10000,3%
3421057228824570,5000,67%
1336392489206110,20000,15%
9174315435762500,1000,16%
1065248511830930,5000,80%
3186864286040760,40000,73%
9327231035550770,20000,9%
5966914242677090,15000,21%
1015961355905730,10000,85%
5081641895518860,5000,56%
4166949979417530,20000,48%
3829290176202140,1000,42%
3456620743490100,5000,30%
4626368485117690,40000,36%
7623811016759660,20000,79%
4353687408276750,15000,9%
3819073076448690,10000,63%
9037621288951430,5000,99%
3531761418889420,20000,92%
6676095397180600,1000,71%
