CCNum,First ,Last,Amount,MinUsualAmount,MaxUsualAmount,CustomerHomeCity,CustomerAge,CustomerGender,CustomerMaritalStatus,CustomerHasChildren
4829-0100-0000-0000,Charlotte,Martinez,$331.90 ,3,273,Rockwall,77,Female,Divorced,Yes
4050-4900-0000-0000,Alexander,White,$565.82 ,7,546,Frisco,74,Male,Married,Yes
4340-5200-0000-0000,Charlotte,Garcia,$5.77 ,6,519,Plano,72,Male,Married,Yes
4589-6200-0000-0000,Aiden,Williams,$661.07 ,4,349,Plano,76,Male,Married,Yes
4185-3400-0000-0000,Charlotte,Anderson,$670.59 ,2,233,Arlington,62,Male,Married,No
4392-0400-0000-0000,Aiden,Clark,$646.88 ,6,499,Irving,76,Male,Married,Yes
4946-0900-0000-0000,Alexander,Lewis,$511.25 ,3,271,Farmers Branch,67,Female,Single,No
4604-2400-0000-0000,Charlotte,Anderson,$510.70 ,5,431,Arlington,79,Female,Single,No
4748-7400-0000-0000,Ethan,Garcia,$618.80 ,2,226,Frisco,61,Male,Widowed,Yes
4163-2300-0000-0000,Isabella,Gonzalez,$600.26 ,6,457,Dallas,63,Female,Widowed,No
4139-8600-0000-0000,Isabella,Wilson,$586.76 ,6,502,Frisco,91,Female,Divorced,No
4961-9000-0000-0000,Elijah,Wilson,$497.64 ,5,399,Dallas,81,Female,Divorced,Yes
4768-6400-0000-0000,Isabella,Williams,$420.14 ,4,316,Farmers Branch,95,Male,Divorced,No
4998-9300-0000-0000,Amelia,Harris,$548.48 ,6,515,Addison,81,Male,Divorced,Yes
4195-4100-0000-0000,Jackson,Davis,$344.45 ,1,133,Dallas,94,Female,Divorced,Yes
4345-2400-0000-0000,Amelia,Thomas,$643.98 ,5,417,Rockwall,84,Male,Divorced,Yes
4040-7300-0000-0000,Alexander,Williams,$672.77 ,3,261,Irving,92,Female,Divorced,No
4028-8000-0000-0000,Ava,Clark,$434.65 ,4,370,Arlington,81,Male,Married,Yes
4780-1500-0000-0000,Amelia,Hernandez,$604.72 ,4,337,Plano,94,Female,Married,Yes
4066-9400-0000-0000,Ava,Wilson,$479.81 ,6,424,McKinney,86,Male,Married,No
4122-7700-0000-0000,Lucas,Smith,$507.42 ,5,364,Arlington,91,Male,Married,Yes
4899-9800-0000-0000,Charlotte,Perez,$687.20 ,4,302,Frisco,86,Male,Single,Yes
4030-0700-0000-0000,Mia,Jones,$499.12 ,5,398,Rockwall,82,Male,Single,No
4613-9500-0000-0000,Alexander,Taylor,$533.77 ,4,328,Irving,84,Female,Widowed,Yes
4905-4400-0000-0000,John,Harris,$547.99 ,5,441,Frisco,91,Male,Widowed,No
4263-3800-0000-0000,Logan,Smith,$371.88 ,2,167,Arlington,82,Female,Widowed,No
4530-6800-0000-0000,Amelia,Anderson,$620.43 ,5,406,Farmers Branch,22,Male,Divorced,No
4004-7000-0000-0000,John,Taylor,$575.63 ,7,575,Frisco,19,Male,Married,Yes
4603-0500-0000-0000,Harper,Gonzalez,$659.52 ,4,306,Plano,24,Male,Widowed,No
4323-4700-0000-0000,John,Hernandez,$545.59 ,4,283,Plano,26,Female,Widowed,Yes
4265-1000-0000-0000,Charlotte,Smith,$626.78 ,1,105,Arlington,58,Male,Divorced,No
4415-7200-0000-0000,Aiden,Lee,$272.16 ,1,114,Addison,42,Female,Divorced,Yes
4028-0900-0000-0000,Oliver,Martinez,$620.17 ,3,301,Rockwall,52,Male,Divorced,No
4004-8900-0000-0000,Mia,White,$433.93 ,3,307,Farmers Branch,56,Male,Divorced,Yes
4380-4700-0000-0000,Amelia,Thomas,$245.88 ,3,243,Rockwall,38,Male,Divorced,Yes
4358-3700-0000-0000,Oliver,Garcia,$80.64 ,1,72,Arlington,36,Male,Divorced,Yes
5304-3282-2159-0160, Elijah     , Taylor,$699.28 ,3,287,Arlington,41,F,Married,No
4227-8400-0000-0000,Isabella,Harris,$592.76 ,2,179,Addison,55,Male,Married,Yes
4471-5400-0000-0000,Elijah,Clark,$427.53 ,4,379,Irving,44,Female,Married,No
4354-6900-0000-0000,Michael,Anderson,$570.86 ,5,413,Frisco,60,Male,Married,Yes
4001-1200-0000-0000,Olivia,Harris,$509.94 ,6,500,Dallas,32,Female,Married,Yes
4082-9800-0000-0000,Aiden,Williams,$696.51 ,7,507,Plano,33,Female,Married,Yes
4953-1700-0000-0000,Lucas,Harris,$430.89 ,5,381,Plano,57,Female,Married,Yes
4853-7600-0000-0000,Harper,Lee,$411.26 ,4,305,Rockwall,43,Male,Married,Yes
4102-7100-0000-0000,Sophia,Lee,$646.35 ,7,544,Arlington,47,Female,Married,Yes
4696-1700-0000-0000,Michael,Lee,$525.04 ,4,313,Addison,48,Male,Married,Yes
4328-9600-0000-0000,Benjamin,Perez,$240.95 ,2,217,Dallas,42,Female,Single,No
4601-3700-0000-0000,Amelia,Hernandez,$395.56 ,3,226,McKinney,46,Female,Single,Yes
4985-1400-0000-0000,Logan,Clark,$528.74 ,3,258,Dallas,53,Female,Single,No
4017-2200-0000-0000,Oliver,Anderson,$599.67 ,2,181,Irving,39,Male,Single,No
4199-3300-0000-0000,Aiden,Anderson,$494.72 ,4,303,Frisco,31,Male,Single,Yes
2346-7593-6564-6140, Ryan       , Sanchez,$3.67 ,9,721,Rockwall,39,f,Single ,No
1065-2485-1183-0930, William   , Sims,$435.30 ,4,347,Frisco,53,M,Single ,No
3456-6207-4349-0100, Madison   , Ryan,$366.20 ,3,291,Plano,34,f,Single ,No
4308-2800-0000-0000,Oliver,Lewis,$327.11 ,3,234,McKinney,56,Female,Widowed,No
4203-5600-0000-0000,Lucas,Harris,$483.13 ,3,257,Dallas,60,Male,Widowed,No
4519-3700-0000-0000,Isabella,Jones,$2.58 ,11,807,Plano,52,Male,Widowed,No
4511-8700-0000-0000,Aiden,Garcia,$592.45 ,4,302,McKinney,33,Male,Widowed,Yes
4338-1200-0000-0000,Lucas,Clark,$333.57 ,3,308,Farmers Branch,74,Male,Divorced,No
4047-9200-0000-0000,John,Williams,$667.46 ,4,337,Plano,62,Male,Divorced,No
4962-4300-0000-0000,Isabella,Thomas,$650.48 ,4,344,Arlington,76,Female,Divorced,Yes
4945-2500-0000-0000,Benjamin,Perez,$681.11 ,4,315,Plano,62,Male,Divorced,Yes
4636-5100-0000-0000,Lucas,Smith,$451.67 ,2,141,Irving,69,Female,Divorced,No
4314-7400-0000-0000,Harper,Taylor,$499.69 ,5,422,Farmers Branch,68,Male,Divorced,No
4571-8300-0000-0000,Lucas,Lee,$629.65 ,8,626,Farmers Branch,72,Male,Married,Yes
4992-0900-0000-0000,Jackson,Davis,$437.94 ,3,247,Dallas,71,Female,Married,No
4403-4400-0000-0000,Isabella,Anderson,$209.77 ,2,154,Plano,69,Female,Married,Yes
4276-4300-0000-0000,Alexander,Hernandez,$348.07 ,4,337,Rockwall,80,Female,Married,No
4280-2300-0000-0000,Isabella,Smith,$666.82 ,7,521,Farmers Branch,72,Male,Married,No
4568-5100-0000-0000,Isabella,Perez,$555.15 ,2,172,Plano,65,Male,Married,No
4180-3000-0000-0000,Liam,Harris,$9.39 ,10,791,Irving,65,Female,Married,Yes
4047-2000-0000-0000,Elijah,Lee,$464.82 ,5,440,Addison,69,Female,Single,Yes
4555-0600-0000-0000,Elijah,Perez,$490.36 ,5,364,Rockwall,67,Female,Single,No
4262-4900-0000-0000,Jackson,Smith,$416.80 ,2,141,Plano,79,Male,Single,No
4315-8200-0000-0000,Sophia,Jones,$245.90 ,2,239,Rockwall,79,Female,Widowed,No
