CCNum,MinUsualAmount,MaxUsualAmount,CC,SourceOutsideUsual,Amount,OnlinePurchase,TransactionNumber,IsFraud,OutsideUsualAmount
4829010000000000,3,273,4829010000000000,Yes,331.9,Yes,78747953,0,Yes
4050490000000000,7,546,4050490000000000,Yes,565.82,Yes,80932519,0,Yes
4340520000000000,6,519,4340520000000000,Yes,5.77,Yes,35940419,0,Yes
4589620000000000,4,349,4589620000000000,Yes,661.07,Yes,69805746,1,Yes
4185340000000000,2,233,4185340000000000,Yes,670.59,Yes,28588182,0,Yes
4392040000000000,6,499,4392040000000000,Yes,646.88,Yes,42337344,0,Yes
4946090000000000,3,271,4946090000000000,Yes,511.25,Yes,9455132,1,Yes
4604240000000000,5,431,4604240000000000,Yes,510.7,Yes,5039210,1,Yes
4748740000000000,2,226,4748740000000000,Yes,618.8,Yes,5790938,1,Yes
4163230000000000,6,457,4163230000000000,Yes,600.26,Yes,10245508,0,Yes
4139860000000000,6,502,4139860000000000,Yes,586.76,Yes,75771678,0,Yes
4961900000000000,5,399,4961900000000000,Yes,497.64,Yes,6955743,0,Yes
4768640000000000,4,316,4768640000000000,Yes,420.14,Yes,88833491,0,Yes
4998930000000000,6,515,4998930000000000,Yes,548.48,Yes,48289090,0,Yes
4195410000000000,1,133,4195410000000000,Yes,344.45,Yes,80416347,0,Yes
4345240000000000,5,417,4345240000000000,Yes,643.98,Yes,37550427,0,Yes
4040730000000000,3,261,4040730000000000,Yes,672.77,Yes,47693686,0,Yes
4028800000000000,4,370,4028800000000000,Yes,434.65,Yes,38556512,0,Yes
4780150000000000,4,337,4780150000000000,Yes,604.72,Yes,54754226,1,Yes
4066940000000000,6,424,4066940000000000,Yes,479.81,Yes,21869370,1,Yes
4122770000000000,5,364,4122770000000000,Yes,507.42,Yes,78960354,0,Yes
4899980000000000,4,302,4899980000000000,Yes,687.2,Yes,62579061,1,Yes
4030070000000000,5,398,4030070000000000,Yes,499.12,Yes,3098671,1,Yes
4613950000000000,4,328,4613950000000000,Yes,533.77,Yes,89373223,0,Yes
4905440000000000,5,441,4905440000000000,Yes,547.99,Yes,42437816,0,Yes
4263380000000000,2,167,4263380000000000,Yes,371.88,Yes,46491774,0,Yes
4530680000000000,5,406,4530680000000000,Yes,620.43,Yes,52098770,1,Yes
4004700000000000,7,575,4004700000000000,Yes,575.63,Yes,14624099,0,Yes
4603050000000000,4,306,4603050000000000,Yes,659.52,Yes,10483013,0,Yes
4323470000000000,4,283,4323470000000000,Yes,545.59,Yes,32440542,0,Yes
4265100000000000,1,105,4265100000000000,Yes,626.78,Yes,84334089,0,Yes
4415720000000000,1,114,4415720000000000,Yes,272.16,Yes,45247203,1,Yes
